Year,Reporting Nodes,Observed Days,Total ED Encounters,Mean ± SD,Median [Q1 – Q3],IQR,Inpatient outcomes linked
2012,1,26.80 (n=41),47,47 ± NA,47 [47 – 47],0,0.00 (n=0)
2013,2,42.90 (n=130),"5,384","2,692 ± 3,718","2,692 [1,378 – 4,006]","2,629",0.00 (n=0)
2014,3,71.17 (n=432),"30,236","10,079 ± 17,012","448 [258 – 15,084]","14,827",0.00 (n=0)
2015,4,69.95 (n=426),"31,258","7,814 ± 15,257","273 [45 – 8,042]","7,998",0.00 (n=0)
2016,8,64.96 (n=992),"58,469","7,309 ± 10,668","3,820 [220 – 7,513]","7,292",0.00 (n=0)
2017,13,91.61 (n=3460),"346,105","26,623 ± 25,433","20,008 [11,983 – 34,897]","22,914",0.00 (n=0)
2018,17,94.03 (n=5436),"505,346","29,726 ± 21,814","30,506 [13,575 – 38,391]","24,816","3.35 (n=16,929)"
2019,26,96.49 (n=8720),"832,264","32,010 ± 19,541","34,798 [17,420 – 41,922]","24,502","16.00 (n=133,161)"
2020,27,97.23 (n=9401),"767,161","28,413 ± 15,990","29,671 [20,410 – 37,022]","16,612","15.01 (n=115,164)"
2021,43,95.92 (n=12637),"1,049,086","24,397 ± 17,704","26,891 [8,442 – 37,006]","28,564","16.18 (n=169,762)"
2022,49,98.48 (n=17024),"1,560,934","31,856 ± 15,223","32,672 [24,815 – 38,555]","13,740","8.70 (n=135,775)"
2023,57,98.32 (n=19771),"1,755,877","30,805 ± 16,918","32,013 [20,226 – 40,424]","20,198","8.17 (n=143,425)"
2024,77,98.08 (n=23041),"2,111,330","27,420 ± 18,744","29,936 [8,588 – 40,135]","31,547","6.03 (n=127,335)"
2025,87,98.51 (n=29128),"2,788,562","32,052 ± 18,540","33,499 [18,726 – 45,066]","26,340","2.23 (n=62,299)"
2026,82,98.44 (n=7118),"714,223","8,710 ± 4,379","8,850 [5,898 – 11,433]","5,536","0.56 (n=3,979)"
