,date,Cumulative_EDs
0,2017-01-01,12
1,2018-01-01,16
2,2019-01-01,17
3,2020-01-01,21
4,2021-01-01,46
5,2022-01-01,50
6,2022-01-28,51
7,2022-03-25,52
8,2022-05-25,53
9,2022-09-23,55
10,2023-01-23,56
11,2023-02-07,57
12,2023-02-15,58
13,2023-03-22,59
14,2023-10-27,60
15,2023-11-30,61
16,2024-01-30,62
17,2024-04-14,63
18,2024-04-24,64
19,2024-06-26,65
20,2024-07-02,66
21,2024-07-03,67
22,2024-07-19,68
23,2024-07-20,69
24,2024-08-06,70
25,2024-08-10,71
26,2024-08-14,72
27,2024-08-20,73
28,2024-08-30,74
29,2024-10-02,76
30,2024-10-24,78
31,2024-11-14,79
32,2024-11-16,80
33,2024-11-20,81
34,2024-11-26,83
35,2025-01-02,86
36,2025-01-30,87
37,2025-03-11,88
38,2025-04-05,89
39,2025-04-29,90
40,2025-05-23,91
41,2025-06-05,93
42,2025-06-07,95
43,2025-08-27,96
44,2025-10-11,97
45,2025-10-16,98
46,2025-10-23,99
47,2026-03-28,100
