version,release_date,release_type,type
v1.6rc1,2024-11-22,MAJOR,j2ee
v1.5.1rc1,2021-12-02,PATCH,j2ee
v1.5rc1,2021-08-26,MINOR,j2ee
v1.4.1,2021-05-26,PATCH,j2ee
v1.4,2021-05-02,MINOR,j2ee
v1.4rc1,2021-03-31,MINOR,j2ee
v1.3,2020-11-18,MINOR,j2ee
v1.3rc2,2020-11-16,MINOR,j2ee
v1.3rc1,2020-11-10,MINOR,j2ee
v1.2rc1,2020-06-07,MINOR,j2ee
v1.1,2019-08-01,MINOR,j2ee
v1.1rc1,2019-07-24,MINOR,j2ee
v1.0.2,2019-02-18,PATCH,j2ee
v1.0.1,2018-12-18,PATCH,j2ee
v1.0,2018-12-12,MAJOR,j2ee
v1.0rc4,2018-12-10,MINOR,j2ee
v1.0rc3,2018-12-06,MINOR,j2ee
v1.0rc2,2018-12-06,MINOR,j2ee
v1.0rc1,2018-12-06,MINOR,j2ee
v0.10.1,2018-03-22,PATCH,j2ee
v0.10,2018-03-20,MINOR,j2ee
v0.10rc1,2018-03-19,MINOR,j2ee
v0.9.1,2018-01-20,PATCH,j2ee
v0.9,2018-01-19,MINOR,j2ee
v0.9rc1,2018-01-16,MINOR,j2ee
v0.8,2017-09-06,MINOR,j2ee
v0.8rc3,2017-09-05,MINOR,j2ee
v0.8rc2,2017-09-03,MINOR,j2ee
v0.8rc1,2017-08-11,MINOR,j2ee
v0.7.2,2017-04-05,PATCH,j2ee
v0.7.1,2017-04-03,PATCH,j2ee
v0.7,2017-03-08,MINOR,j2ee
v0.6.4,2017-01-12,PATCH,j2ee
v0.6.3,2016-10-04,PATCH,j2ee
v0.6.2,2016-10-04,PATCH,j2ee
v0.6.1,2016-10-04,PATCH,j2ee
v0.6,2016-09-27,MINOR,j2ee
v0.5,2016-02-19,MINOR,j2ee
v0.4.1,2015-11-26,PATCH,j2ee
v0.4,2015-11-24,MINOR,j2ee
v0.3,2015-09-30,MINOR,j2ee
v0.2,2015-09-22,MINOR,j2ee
v0.1,2014-12-17,MAJOR,j2ee
v1.5.1,2021-12-09,PATCH,dwh-setup
v1.5,2021-09-24,MINOR,dwh-setup
v1.4.1,2021-05-26,PATCH,dwh-setup
v1.4,2021-05-02,MINOR,dwh-setup
v1.4rc1,2021-03-31,MINOR,dwh-setup
v1.3,2020-11-18,MINOR,dwh-setup
v1.3rc1,2020-11-16,MINOR,dwh-setup
v1.1u4,2019-10-24,PATCH,dwh-setup
v1.1u3,2019-10-22,PATCH,dwh-setup
v1.1u2,2019-08-06,PATCH,dwh-setup
v1.1u1,2019-08-05,PATCH,dwh-setup
